TransactionID,CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmount_USD,Season,ReviewRating
1055,C0241,42,Male,AirPods 4,Earbuds,249,Winter,4.8
1056,C0750,24,Female,AirPods Pro 3,Earbuds,329,Fall,4.5
1057,C0140,19,Female,AirPods 4,Earbuds,249,Spring,4.1
1058,C0153,27,Female,AirPods Pro 3,Earbuds,329,Summer,4.9
1059,C0697,17,Male,AirPods Pro 3,Earbuds,329,Winter,4.4
1060,C0650,51,Female,AirPods 4,Earbuds,249,Summer,5
1061,C0817,59,Female,AirPods Pro 3,Earbuds,329,Spring,4.4
1062,C0962,56,Female,AirPods Max 2,Headphones,799,Summer,4.3
1063,C0922,17,Female,AirPods Pro 3,Earbuds,329,Winter,4.9
1064,C0457,33,Female,AirPods 4,Earbuds,249,Summer,4.4
1065,C0831,41,Male,AirPods Pro 3,Earbuds,329,Winter,4.9
1066,C0568,44,Female,AirPods 4,Earbuds,249,Summer,4.1
1067,C0236,48,Male,AirPods Pro 3,Earbuds,329,Summer,4.1
1068,C0854,58,Male,AirPods 4,Earbuds,249,Spring,4.3
1069,C0197,60,Male,AirPods Pro 3,Earbuds,329,Summer,4.7
1070,C0871,61,Male,AirPods Pro 3,Earbuds,329,Winter,5
1071,C0930,45,Male,AirPods Pro 3,Earbuds,329,Spring,1.7
1072,C0876,36,Male,AirPods 3,Earbuds,179,Summer,4.6
1073,C0459,47,Male,AirPods 4,Earbuds,249,Summer,4.6
1074,C0183,51,Male,AirPods 3,Earbuds,179,Summer,4.4
1075,C0084,19,Female,AirPods 3,Earbuds,179,Spring,4.8
1076,C0375,62,Female,AirPods Pro 3,Earbuds,329,Winter,4.4
1077,C0649,44,Male,AirPods 4,Earbuds,249,Winter,4.9
1078,C0403,54,Male,AirPods 4,Earbuds,249,Summer,4.1
1079,C0947,17,Male,AirPods 3,Earbuds,179,Summer,4.7
1080,C0814,24,Male,AirPods 4,Earbuds,249,Summer,4.5
1081,C0735,51,Male,AirPods 3,Earbuds,179,Spring,4.6
1082,C0535,35,Female,AirPods Max 2,Headphones,799,Spring,4.7
1083,C0596,52,Female,AirPods Pro 3,Earbuds,329,Summer,4.1
1084,C0409,51,Non-binary,AirPods Max 2,Headphones,799,Spring,4.1
1085,C0552,47,Female,AirPods Pro 3,Earbuds,329,Spring,2.9
1086,C0468,61,Male,AirPods Pro 3,Earbuds,329,Fall,4.1
1087,C0942,21,Male,AirPods Max 2,Headphones,799,Fall,4.3
1088,C0918,54,Male,AirPods Pro 3,Earbuds,329,Summer,4.5
1089,C0686,50,Female,AirPods 3,Earbuds,179,Spring,2.5
1090,C0747,21,Male,AirPods 3,Earbuds,179,Summer,4.3
1091,C0850,63,Male,AirPods 4,Earbuds,249,Summer,4.3
1092,C0781,42,Male,AirPods 4,Earbuds,249,Spring,4.3
1093,C0749,58,Male,AirPods 4,Earbuds,249,Winter,3.7
1094,C0626,17,Male,AirPods 3,Earbuds,179,Winter,4.7
1095,C0485,40,Female,AirPods 4,Earbuds,249,Spring,4.1
1096,C0173,25,Female,AirPods 4,Earbuds,249,Winter,4.4
1097,C0604,18,Female,AirPods Pro 3,Earbuds,329,Winter,4.2
1098,C0328,37,Female,AirPods 4,Earbuds,249,Spring,4.7
1099,C0424,33,Non-binary,AirPods Pro 3,Earbuds,329,Summer,4.7
1100,C0853,55,Female,AirPods Pro 3,Earbuds,329,Spring,4.2
1101,C0449,58,Non-binary,AirPods 3,Earbuds,179,Summer,4.6
1102,C0019,18,Male,AirPods 3,Earbuds,179,Fall,4.3
1103,C0323,39,Female,AirPods Max 2,Headphones,799,Spring,4.8
1104,C0638,39,Female,AirPods Pro 3,Earbuds,329,Spring,4.8
1105,C0263,26,Female,AirPods 4,Earbuds,249,Spring,4.8
1106,C0676,37,Female,AirPods Max 2,Headphones,799,Spring,5
1107,C0075,20,Female,AirPods 4,Earbuds,249,Summer,4.3
1108,C0760,42,Female,AirPods 4,Earbuds,249,Fall,5
1109,C0246,45,Male,AirPods 4,Earbuds,249,Fall,4.3
1110,C0714,21,Female,AirPods 4,Earbuds,249,Spring,4.6
1111,C0481,28,Female,AirPods Pro 3,Earbuds,329,Winter,4.9
1112,C0387,27,Male,AirPods Pro 3,Earbuds,329,Spring,4.8
1113,C0613,37,Male,AirPods Pro 3,Earbuds,329,Spring,4.9
1114,C0481,49,Non-binary,AirPods 4,Earbuds,249,Winter,4.7
1115,C0020,32,Female,AirPods Pro 3,Earbuds,329,Summer,4.3
1116,C0562,20,Male,AirPods Pro 3,Earbuds,329,Fall,4.1
1117,C0798,25,Male,AirPods 4,Earbuds,249,Winter,4.1
1118,C0965,63,Female,AirPods 4,Earbuds,249,Winter,4.2
1119,C0636,26,Female,AirPods 4,Earbuds,249,Spring,4.3
1120,C0234,31,Male,AirPods 4,Earbuds,249,Winter,4.9
1121,C0945,28,Female,AirPods Max 2,Headphones,799,Winter,4.4
1122,C0513,45,Male,AirPods 4,Earbuds,249,Spring,4
1123,C0431,19,Male,AirPods 4,Earbuds,249,Summer,4.9
1124,C0986,17,Female,AirPods Max 2,Headphones,799,Spring,4.6
1125,C0771,59,Female,AirPods Pro 3,Earbuds,329,Spring,5
1126,C0433,26,Female,AirPods Pro 3,Earbuds,329,Spring,4
1127,C0075,26,Male,AirPods Max 2,Headphones,799,Fall,4.5
1128,C0512,19,Female,AirPods 3,Earbuds,179,Fall,4.2
1129,C0313,35,Male,AirPods Pro 3,Earbuds,329,Fall,4.3
1130,C0844,39,Female,AirPods 4,Earbuds,249,Fall,4.6
1131,C0363,55,Male,AirPods 4,Earbuds,249,Winter,4.8
1132,C0387,27,Male,AirPods 3,Earbuds,179,Summer,4.3
1133,C0296,42,Female,AirPods Pro 3,Earbuds,329,Fall,1.9
1134,C0304,37,Male,AirPods Pro 3,Earbuds,329,Winter,1
1135,C0207,30,Female,AirPods Pro 3,Earbuds,329,Fall,4.6
1136,C0609,36,Female,AirPods 4,Earbuds,249,Fall,4.5
1137,C0770,42,Female,AirPods 4,Earbuds,249,Fall,4.5
1138,C0394,48,Female,AirPods 3,Earbuds,179,Fall,4.5
1139,C0128,44,Female,AirPods 4,Earbuds,249,Winter,4.3
1140,C0257,52,Female,AirPods Pro 3,Earbuds,329,Summer,4.5
1141,C0472,42,Male,AirPods Pro 3,Earbuds,329,Winter,4.7
1142,C0005,40,Female,AirPods Pro 3,Earbuds,329,Winter,4.5
1143,C0049,38,Male,AirPods 4,Earbuds,249,Fall,5
1144,C0467,54,Female,AirPods Pro 3,Earbuds,329,Winter,4.8
1145,C0444,64,Female,AirPods Pro 3,Earbuds,329,Spring,4.8
1146,C0558,56,Male,AirPods Max 2,Headphones,799,Spring,4.4
1147,C0720,61,Male,AirPods 3,Earbuds,179,Spring,4.9
1148,C0870,61,Female,AirPods Pro 3,Earbuds,329,Fall,4.9
1149,C0710,64,Non-binary,AirPods 3,Earbuds,179,Summer,4.9
1150,C0201,54,Male,AirPods 4,Earbuds,249,Summer,4
1151,C0662,59,Male,AirPods Pro 3,Earbuds,329,Winter,4.5
1152,C0942,48,Male,AirPods Pro 3,Earbuds,329,Winter,4.2
1153,C0145,19,Non-binary,AirPods 4,Earbuds,249,Summer,4.5
1154,C0265,16,Male,AirPods Pro 3,Earbuds,329,Winter,4.6
1155,C0757,65,Female,AirPods Pro 3,Earbuds,329,Winter,4.3
1156,C0007,52,Female,AirPods Pro 3,Earbuds,329,Winter,4.8
1157,C0419,38,Male,AirPods 4,Earbuds,249,Spring,4.4
1158,C0349,57,Male,AirPods 3,Earbuds,179,Fall,4.5
1159,C0155,20,Male,AirPods 3,Earbuds,179,Winter,4.8
1160,C0263,54,Male,AirPods 4,Earbuds,249,Fall,4.1
1161,C0480,34,Female,AirPods 4,Earbuds,249,Fall,4.1
1162,C0744,22,Male,AirPods Pro 3,Earbuds,329,Spring,4.4
1163,C0113,52,Female,AirPods Pro 3,Earbuds,329,Winter,4.3
1164,C0646,21,Male,AirPods 3,Earbuds,179,Spring,4.1
1165,C0684,19,Male,AirPods 3,Earbuds,179,Spring,4.4
1166,C0398,56,Female,AirPods Pro 3,Earbuds,329,Summer,4.3
1167,C0853,44,Female,AirPods Pro 3,Earbuds,329,Fall,5
1168,C0277,45,Male,AirPods Pro 3,Earbuds,329,Winter,4.4
1169,C0774,65,Non-binary,AirPods Pro 3,Earbuds,329,Spring,4.5
1170,C0177,30,Female,AirPods 4,Earbuds,249,Spring,4
1171,C0814,63,Female,AirPods Pro 3,Earbuds,329,Fall,4.8
1172,C0401,40,Female,AirPods 4,Earbuds,249,Spring,4
1173,C0421,41,Male,AirPods 4,Earbuds,249,Winter,4.9
1174,C0328,24,Female,AirPods 4,Earbuds,249,Summer,4
1175,C0842,47,Male,AirPods Pro 3,Earbuds,329,Spring,5
1176,C0583,29,Female,AirPods 4,Earbuds,249,Fall,4.2
1177,C0917,18,Female,AirPods Pro 3,Earbuds,329,Spring,4.1
1178,C0214,29,Male,AirPods 4,Earbuds,249,Fall,4.4
1179,C0420,34,Male,AirPods Max 2,Headphones,799,Fall,4.6
1180,C0136,58,Male,AirPods 3,Earbuds,179,Winter,4.9
1181,C0009,46,Female,AirPods 3,Earbuds,179,Winter,4.5
1182,C0371,45,Female,AirPods Pro 3,Earbuds,329,Fall,4.2
1183,C0013,54,Male,AirPods Pro 3,Earbuds,329,Summer,4.9
1184,C0457,40,Female,AirPods 3,Earbuds,179,Fall,4.3
1185,C0343,65,Female,AirPods Pro 3,Earbuds,329,Spring,4.9
1186,C0917,43,Female,AirPods 4,Earbuds,249,Fall,3.2
1187,C0013,26,Female,AirPods 3,Earbuds,179,Spring,4.4
1188,C0095,21,Male,AirPods 3,Earbuds,179,Fall,4.1
1189,C0657,34,Female,AirPods Pro 3,Earbuds,329,Winter,4.3
1190,C0202,41,Female,AirPods 3,Earbuds,179,Spring,4.2
1191,C0710,59,Male,AirPods 4,Earbuds,249,Fall,4.1
1192,C0987,36,Female,AirPods Pro 3,Earbuds,329,Spring,4
1193,C0664,50,Male,AirPods 3,Earbuds,179,Fall,4.6
1194,C0380,20,Female,AirPods Pro 3,Earbuds,329,Fall,4.4
1195,C0463,44,Male,AirPods 3,Earbuds,179,Fall,4.6
1196,C0041,29,Female,AirPods 4,Earbuds,249,Winter,4.8
1197,C0849,18,Male,AirPods Max 2,Headphones,799,Spring,4.7
1198,C0330,19,Male,AirPods 3,Earbuds,179,Spring,4.7
1199,C0665,56,Male,AirPods Pro 3,Earbuds,329,Spring,4.7
1200,C0169,55,Female,AirPods 4,Earbuds,249,Summer,4.6
1201,C0472,21,Male,AirPods 4,Earbuds,249,Winter,4.5
1202,C0625,19,Female,AirPods Pro 3,Earbuds,329,Summer,4.7
1203,C0497,26,Male,AirPods Max 2,Headphones,799,Summer,4.8
1204,C0443,65,Female,AirPods 4,Earbuds,249,Spring,5
1205,C0148,25,Female,AirPods Pro 3,Earbuds,329,Spring,4.2
1206,C0116,57,Female,AirPods Pro 3,Earbuds,329,Summer,4.2
1207,C0388,58,Male,AirPods 4,Earbuds,249,Winter,4.4
1208,C0083,28,Female,AirPods 3,Earbuds,179,Fall,4.6
1209,C0685,24,Female,AirPods 4,Earbuds,249,Winter,4.1
1210,C0431,41,Male,AirPods 4,Earbuds,249,Fall,4.6
1211,C0238,37,Female,AirPods 4,Earbuds,249,Summer,4.5
1212,C0827,23,Female,AirPods 4,Earbuds,249,Winter,4.9
1213,C0376,27,Male,AirPods 3,Earbuds,179,Fall,4.9
1214,C0611,43,Female,AirPods 4,Earbuds,249,Fall,4.8
1215,C0083,57,Male,AirPods 4,Earbuds,249,Spring,4.6
1216,C0079,57,Female,AirPods 4,Earbuds,249,Winter,4.7
1217,C0232,27,Female,AirPods Pro 3,Earbuds,329,Spring,4
1218,C0125,59,Male,AirPods Pro 3,Earbuds,329,Fall,4.5
1219,C0111,22,Female,AirPods Pro 3,Earbuds,329,Spring,4.3
1220,C0397,20,Male,AirPods 4,Earbuds,249,Fall,4.7
1221,C0884,42,Female,AirPods 4,Earbuds,249,Winter,4.6
1222,C0448,27,Female,AirPods 4,Earbuds,249,Winter,4.4
1223,C0512,16,Male,AirPods 3,Earbuds,179,Spring,4.2
1224,C0554,65,Female,AirPods 3,Earbuds,179,Fall,4.7
1225,C0884,58,Male,AirPods Pro 3,Earbuds,329,Winter,4.7
1226,C0622,34,Female,AirPods Pro 3,Earbuds,329,Winter,4
1227,C0625,24,Female,AirPods 3,Earbuds,179,Winter,4.5
1228,C0901,52,Male,AirPods 3,Earbuds,179,Fall,1.7
1229,C0580,52,Male,AirPods 4,Earbuds,249,Winter,4
1230,C0418,20,Female,AirPods Pro 3,Earbuds,329,Summer,4.6
1231,C0599,46,Male,AirPods 3,Earbuds,179,Winter,4.9
1232,C0699,29,Female,AirPods Max 2,Headphones,799,Spring,4.9
1233,C0160,42,Male,AirPods 3,Earbuds,179,Summer,4.2
1234,C0002,45,Male,AirPods Pro 3,Earbuds,329,Spring,3.3
1235,C0418,38,Female,AirPods 4,Earbuds,249,Fall,4.9
1236,C0835,19,Male,AirPods 4,Earbuds,249,Winter,4.4
1237,C0143,32,Female,AirPods Pro 3,Earbuds,329,Fall,4.5
1238,C0190,34,Female,AirPods Pro 3,Earbuds,329,Fall,4
1239,C0124,41,Female,AirPods 4,Earbuds,249,Winter,4.1
1240,C0574,35,Male,AirPods Max 2,Headphones,799,Spring,4.5
1241,C0780,33,Female,AirPods Pro 3,Earbuds,329,Summer,4.6
1242,C0373,23,Male,AirPods 4,Earbuds,249,Winter,4.6
1243,C0235,16,Female,AirPods Pro 3,Earbuds,329,Spring,4.6
1244,C0791,18,Male,AirPods 3,Earbuds,179,Summer,4.6
1245,C0846,18,Female,AirPods Pro 3,Earbuds,329,Fall,4.6
1246,C0498,47,Male,AirPods Pro 3,Earbuds,329,Spring,4.7
1247,C0226,64,Female,AirPods 3,Earbuds,179,Spring,4.6
1248,C0164,52,Male,AirPods 3,Earbuds,179,Fall,2
1249,C0194,55,Other,AirPods 4,Earbuds,249,Fall,4.6
1250,C0813,27,Female,AirPods 4,Earbuds,249,Winter,2.3
1251,C0448,38,Male,AirPods Pro 3,Earbuds,329,Summer,4.8
1252,C0126,46,Male,AirPods 4,Earbuds,249,Spring,4
1253,C0941,64,Male,AirPods 3,Earbuds,179,Spring,4.8
1254,C0162,41,Male,AirPods 3,Earbuds,179,Summer,4.2
1255,C0862,24,Male,AirPods Pro 3,Earbuds,329,Summer,4.6
1256,C0392,37,Female,AirPods Max 2,Headphones,799,Spring,4.1
1257,C0568,40,Female,AirPods Max 2,Headphones,799,Winter,4.5
1258,C0475,24,Female,AirPods 4,Earbuds,249,Spring,4.4
1259,C0056,43,Female,AirPods 4,Earbuds,249,Winter,4.7
1260,C0228,47,Female,AirPods Pro 3,Earbuds,329,Summer,4.8
1261,C0700,56,Male,AirPods 3,Earbuds,179,Fall,4.8
1262,C0723,46,Female,AirPods Max 2,Headphones,799,Winter,4
1263,C0261,57,Male,AirPods 4,Earbuds,249,Summer,4
1264,C0788,50,Female,AirPods Pro 3,Earbuds,329,Spring,4.4
1265,C0233,18,Female,AirPods 4,Earbuds,249,Fall,3.8
1266,C0092,53,Male,AirPods Max 2,Headphones,799,Spring,4.8
1267,C0111,56,Male,AirPods 3,Earbuds,179,Fall,4.9
1268,C0446,45,Female,AirPods 4,Earbuds,249,Spring,4.3
1269,C0009,35,Male,AirPods 3,Earbuds,179,Fall,4.5
1270,C0598,33,Male,AirPods Pro 3,Earbuds,329,Winter,4.4
1271,C0807,39,Male,AirPods Pro 3,Earbuds,329,Winter,4.2
1272,C0743,62,Male,AirPods Max 2,Headphones,799,Summer,4.5
1273,C0988,36,Male,AirPods Pro 3,Earbuds,329,Winter,5
1274,C0300,41,Female,AirPods Max 2,Headphones,799,Spring,4.3
1275,C0296,29,Male,AirPods 3,Earbuds,179,Winter,4.3
1276,C0971,37,Female,AirPods 4,Earbuds,249,Winter,4.5
1277,C0074,45,Female,AirPods 3,Earbuds,179,Winter,4.7
1278,C0424,26,Female,AirPods 4,Earbuds,249,Winter,4.5
1279,C0903,49,Male,AirPods 4,Earbuds,249,Spring,2.6
1280,C0128,26,Female,AirPods Max 2,Headphones,799,Winter,4.1
1281,C0758,20,Female,AirPods Max 2,Headphones,799,Winter,4.5
1282,C0209,56,Female,AirPods 4,Earbuds,249,Spring,4.8
1283,C0756,28,Female,AirPods 4,Earbuds,249,Summer,4.7
1284,C0096,61,Male,AirPods Max 2,Headphones,799,Summer,4.1
1285,C0643,21,Male,AirPods Pro 3,Earbuds,329,Summer,4.9
1286,C0403,25,Female,AirPods 3,Earbuds,179,Summer,4.6
1287,C0843,61,Female,AirPods 3,Earbuds,179,Winter,4.3
1288,C0430,59,Female,AirPods Pro 3,Earbuds,329,Summer,4.5
1289,C0545,47,Male,AirPods 4,Earbuds,249,Spring,4.5
1290,C0682,36,Male,AirPods Pro 3,Earbuds,329,Spring,4.5
1291,C0639,24,Male,AirPods 4,Earbuds,249,Fall,4.9
1292,C0371,23,Male,AirPods Pro 3,Earbuds,329,Spring,4.5
1293,C0842,56,Male,AirPods Max 2,Headphones,799,Spring,4
1294,C0245,18,Male,AirPods 4,Earbuds,249,Winter,4.9
1295,C0732,64,Female,AirPods 3,Earbuds,179,Spring,5
1296,C0430,23,Female,AirPods 4,Earbuds,249,Winter,4.3
1297,C0977,16,Female,AirPods Max 2,Headphones,799,Spring,4
1298,C0352,53,Male,AirPods 3,Earbuds,179,Summer,4.1
1299,C0202,25,Female,AirPods 4,Earbuds,249,Summer,4.3
1300,C0862,47,Male,AirPods Pro 3,Earbuds,329,Summer,5
1301,C0599,32,Female,AirPods Pro 3,Earbuds,329,Summer,4.5
1302,C0249,39,Female,AirPods Max 2,Headphones,799,Summer,4.3
1303,C0607,41,Male,AirPods 3,Earbuds,179,Spring,4.1
1304,C0572,34,Female,AirPods 4,Earbuds,249,Spring,4.6
1305,C0312,32,Male,AirPods Max 2,Headphones,799,Fall,4.5
1306,C0328,42,Female,AirPods Max 2,Headphones,799,Fall,4.7
1307,C0168,30,Female,AirPods 4,Earbuds,249,Fall,4.5
1308,C0644,56,Male,AirPods Pro 3,Earbuds,329,Summer,4.8
1309,C0038,27,Female,AirPods 4,Earbuds,249,Fall,4.7
1310,C0887,43,Male,AirPods 4,Earbuds,249,Winter,4.5
1311,C0880,60,Male,AirPods Pro 3,Earbuds,329,Fall,4.1
1312,C0147,28,Male,AirPods 4,Earbuds,249,Winter,4.4
1313,C0916,18,Male,AirPods 4,Earbuds,249,Spring,4.6
1314,C0593,60,Female,AirPods Pro 3,Earbuds,329,Fall,4.7
1315,C0444,29,Male,AirPods Max 2,Headphones,799,Fall,4.8
1316,C0425,17,Female,AirPods 3,Earbuds,179,Summer,4.5
1317,C0858,32,Male,AirPods 4,Earbuds,249,Spring,4
1318,C0355,52,Female,AirPods Pro 3,Earbuds,329,Summer,4.7
1319,C0613,18,Non-binary,AirPods 4,Earbuds,249,Summer,5
1320,C0576,56,Female,AirPods 4,Earbuds,249,Winter,4.3
1321,C0341,47,Male,AirPods 4,Earbuds,249,Winter,4.6
1322,C0769,53,Female,AirPods 4,Earbuds,249,Summer,4.4
1323,C0398,59,Female,AirPods Pro 3,Earbuds,329,Summer,4.4
1324,C0648,25,Male,AirPods Pro 3,Earbuds,329,Spring,4.9
1325,C0270,41,Female,AirPods 3,Earbuds,179,Winter,4.4
1326,C0066,58,Female,AirPods 4,Earbuds,249,Winter,4.1
1327,C0197,57,Female,AirPods 4,Earbuds,249,Winter,4.9
1328,C0832,65,Male,AirPods 4,Earbuds,249,Fall,4.6
1329,C0439,41,Male,AirPods 4,Earbuds,249,Summer,4.5
1330,C0430,20,Male,AirPods 4,Earbuds,249,Summer,4.5
1331,C0552,21,Male,AirPods 3,Earbuds,179,Spring,4.2
1332,C0803,29,Female,AirPods Pro 3,Earbuds,329,Summer,4.4
1333,C0762,49,Female,AirPods 3,Earbuds,179,Fall,4.7
1334,C0557,51,Male,AirPods 3,Earbuds,179,Winter,4.1
1335,C0320,41,Female,AirPods 4,Earbuds,249,Summer,4.7
1336,C0839,19,Male,AirPods Max 2,Headphones,799,Winter,4.5
1337,C0674,38,Male,AirPods Pro 3,Earbuds,329,Winter,5
1338,C0229,25,Male,AirPods 4,Earbuds,249,Fall,4.6
1339,C0118,57,Male,AirPods 4,Earbuds,249,Summer,4.6
1340,C0282,25,Female,AirPods Pro 3,Earbuds,329,Spring,4.6
1341,C0365,60,Male,AirPods 4,Earbuds,249,Winter,4
1342,C0704,52,Male,AirPods Pro 3,Earbuds,329,Winter,4.4
1343,C0162,31,Male,AirPods Pro 3,Earbuds,329,Summer,4.4
1344,C0288,59,Female,AirPods 4,Earbuds,249,Fall,4.7
1345,C0249,27,Female,AirPods Max 2,Headphones,799,Spring,4.9
1346,C0808,16,Female,AirPods Pro 3,Earbuds,329,Winter,4.2
1347,C0623,23,Male,AirPods 3,Earbuds,179,Winter,4.6
1348,C0070,27,Male,AirPods Pro 3,Earbuds,329,Summer,2.4
1349,C0015,20,Female,AirPods 4,Earbuds,249,Summer,4.8
1350,C0378,33,Female,AirPods 4,Earbuds,249,Winter,4
1351,C0775,50,Male,AirPods Pro 3,Earbuds,329,Spring,4.5
1352,C0633,21,Male,AirPods Pro 3,Earbuds,329,Spring,4.8
1353,C0924,46,Female,AirPods Max 2,Headphones,799,Spring,4.4
1354,C0252,35,Male,AirPods Pro 3,Earbuds,329,Fall,4.8
1355,C0152,59,Female,AirPods Pro 3,Earbuds,329,Winter,4.6
1356,C0167,31,Male,AirPods 4,Earbuds,249,Fall,4.6
1357,C0509,54,Female,AirPods Max 2,Headphones,799,Fall,5
1358,C0314,25,Male,AirPods 4,Earbuds,249,Winter,4.2
1359,C0650,50,Male,AirPods 4,Earbuds,249,Winter,4
1360,C0530,34,Female,AirPods 3,Earbuds,179,Winter,4.7
1361,C0061,25,Female,AirPods Pro 3,Earbuds,329,Spring,4.8
1362,C0752,32,Female,AirPods 4,Earbuds,249,Spring,4.3
1363,C0751,44,Male,AirPods 4,Earbuds,249,Fall,5
1364,C0197,59,Female,AirPods 4,Earbuds,249,Winter,4.1
1365,C0833,28,Male,AirPods 4,Earbuds,249,Spring,4.4
1366,C0730,43,Female,AirPods 3,Earbuds,179,Spring,4.1
1367,C0638,22,Female,AirPods Pro 3,Earbuds,329,Winter,4.4
1368,C0039,54,Male,AirPods 4,Earbuds,249,Winter,4
1369,C0628,45,Female,AirPods Pro 3,Earbuds,329,Fall,4.7
1370,C0879,57,Male,AirPods 4,Earbuds,249,Summer,4.8
1371,C0147,56,Male,AirPods 4,Earbuds,249,Summer,2.9
1372,C0670,38,Male,AirPods 3,Earbuds,179,Summer,4.8
1373,C0547,31,Male,AirPods 3,Earbuds,179,Fall,4.8
1374,C0530,21,Male,AirPods Max 2,Headphones,799,Summer,5
1375,C0134,21,Male,AirPods Pro 3,Earbuds,329,Winter,4.8
1376,C0995,62,Female,AirPods 4,Earbuds,249,Summer,4.9
1377,C0494,65,Female,AirPods 4,Earbuds,249,Winter,4
1378,C0010,61,Male,AirPods 4,Earbuds,249,Spring,4.2
1379,C0864,65,Male,AirPods 4,Earbuds,249,Fall,4.7
1380,C0746,39,Male,AirPods Pro 3,Earbuds,329,Spring,4.2
1381,C0785,29,Female,AirPods 4,Earbuds,249,Winter,4.1
1382,C0388,26,Female,AirPods 4,Earbuds,249,Fall,4.5
1383,C0263,48,Female,AirPods Pro 3,Earbuds,329,Fall,4.8
1384,C0194,50,Female,AirPods Pro 3,Earbuds,329,Winter,4
1385,C0516,53,Male,AirPods 3,Earbuds,179,Fall,4.8
1386,C0458,30,Male,AirPods Pro 3,Earbuds,329,Winter,4.5
